name,mean,std,min,max,n_bad,length
source_id,82.1296296296,47.3415666925,1,164,0,162
common_name,--,--,--,--,0,162
gamma_names,--,--,--,--,0,162
fermi_names,--,--,--,--,0,162
other_names,--,--,--,--,0,162
where,--,--,--,--,0,162
classes,--,--,--,--,0,162
discoverer,--,--,--,--,0,162
seen_by,--,--,--,--,0,162
discovery_date,--,--,--,--,0,162
tevcat_id,173.172839506,58.7852946513,74,280,0,162
tevcat2_id,--,--,--,--,0,162
tevcat_name,--,--,--,--,0,162
tgevcat_id,-4.55475162314e+17,1.99838916432e+18,-9223372036854775808,155,0,162
tgevcat_name,--,--,--,--,0,162
reference_id,--,--,--,--,0,162
significance,11.8014,8.05246,4.2,40.0,93,162
livetime,60.7952,51.0758,4.5,226.0,89,162
ra,206.242,92.4655,1.65,359.783,0,162
dec,-4.97807,40.0049,-69.6442,72.783,0,162
glon,172.305,123.076,0.140617,359.944,0,162
glat,3.15227,28.9401,-87.9645,83.4178,0,162
pos_ra,237.33,67.0065,1.60833,350.835,86,162
pos_dec,-22.2511,35.502,-69.1861,72.9836,86,162
pos_glon,189.819,142.712,0.872,359.945,86,162
pos_glat,1.42842,12.7208,-32.7868,83.3891,86,162
pos_err,0.0356427,0.0480359,0.00107583,0.333333,96,162
morph_type,--,--,--,--,0,162
morph_sigma,0.203649,0.161282,0.03,1.0,106,162
morph_sigma_err,0.0266054,0.01875,0.00333333,0.1,113,162
morph_sigma2,0.13125,0.0962114,0.02,0.36,142,162
morph_sigma2_err,0.0238,0.0107276,0.006,0.05,142,162
morph_pa,48.8737,44.2125,-20.0,149.0,143,162
morph_pa_err,16.2625,11.9538,6.0,49.0,146,162
morph_pa_frame,--,--,--,--,0,162
spec_type,--,--,--,--,0,162
spec_pl_norm,1.35898e-11,7.43344e-11,8.1e-14,5.8e-10,102,162
spec_pl_norm_err,1.65761e-12,8.97529e-12,7e-15,7e-11,102,162
spec_pl_norm_err_sys,9.00085e-13,2.42045e-12,1.5e-14,1.3e-11,115,162
spec_pl_index,2.48467,0.370047,1.75,3.68,102,162
spec_pl_index_err,0.185542,0.117917,0.03,0.7,102,162
spec_pl_index_err_sys,0.214909,0.0479345,0.1,0.3,107,162
spec_pl_e_ref,1.0664,0.61314,0.3,5.0,102,162
spec_pl2_flux,2.42005e-11,1.93423e-11,1.55e-13,5.78e-11,151,162
spec_pl2_flux_err,2.19518e-12,2.22397e-12,3.7e-14,7.7e-12,151,162
spec_pl2_flux_err_sys,3.41909e-13,2.84755e-13,3.1e-14,1.2e-12,151,162
spec_pl2_index,2.39364,0.207683,2.09,2.8,151,162
spec_pl2_index_err,0.15,0.0772246,0.06,0.27,151,162
spec_pl2_index_err_sys,0.2,0.0,0.2,0.2,151,162
spec_pl2_e_min,0.290909,0.231417,0.2,1.0,151,162
spec_pl2_e_max,nan,nan,nan,nan,162,162
spec_ecpl_norm,1.00228e-11,1.03908e-11,3e-13,3.2163e-11,151,162
spec_ecpl_norm_err,4.59282e-13,4.37137e-13,4e-14,1.4643e-12,151,162
spec_ecpl_norm_err_sys,8.91486e-13,9.22981e-13,9e-14,3e-12,155,162
spec_ecpl_index,1.72289,0.430511,0.7,2.26,151,162
spec_ecpl_index_err,0.1356,0.160085,0.02,0.6,151,162
spec_ecpl_index_err_sys,0.146667,0.048074,0.1,0.2,153,162
spec_ecpl_e_cut,10.3136,5.57389,3.47,24.8,151,162
spec_ecpl_e_cut_err,2.506,1.68981,1.1,7.2,151,162
spec_ecpl_e_cut_err_sys,1.9,0.668331,1.0,2.6,159,162
spec_ecpl_e_ref,1.0,0.0,1.0,1.0,151,162
spec_erange_min,0.451092,0.248204,0.075,1.0,102,162
spec_erange_max,31.2065,27.8594,0.42,100.0,129,162
spec_theta,0.354411,0.24601,0.1,1.2,106,162
spec_dnde_1TeV,3.76204e-12,5.92079e-12,1.3e-13,3.53e-11,80,162
spec_dnde_1TeV_err,4.1638e-13,5.47015e-13,1.96201e-14,3.77544e-12,80,162
spec_flux_1TeV,2.92196e-12,4.66376e-12,8.16404e-14,2.3395e-11,80,162
spec_flux_1TeV_err,4.21137e-13,5.0721e-13,1.42465e-14,2.34607e-12,80,162
spec_flux_1TeV_crab,14.0855,22.482,0.393553,112.777,80,162
spec_flux_1TeV_crab_err,2.03012,2.44504,0.0686763,11.3094,80,162
spec_eflux_1TeV_10TeV,1.02994e-11,1.71846e-11,2.29878e-13,9.26578e-11,80,162
spec_eflux_1TeV_10TeV_err,1.67341e-12,2.13063e-12,4.89971e-14,1.11982e-11,80,162
sed_reference_id,--,--,--,--,0,162
sed_n_points,5.43827160494,5.54770707615,0,30,0,162
sed_n_ul,0.148148148148,0.474305499069,0,3,0,162
sed_e_ref,5.42999,8.90378,0.0774234,68.72,5587,162
sed_e_min,5.27041,7.94043,0.151863,49.3947,6283,162
sed_e_max,8.26945,14.9398,0.183999,113.2,6283,162
sed_dnde,1.00015e-10,1.13879e-09,-6.64708e-15,2.48e-08,5599,162
sed_dnde_err,4.83368e-12,2.90226e-11,5.329e-16,3.61436e-10,6301,162
sed_dnde_errp,3.54423e-11,4.1106e-10,2.269e-17,8.44003e-09,5778,162
sed_dnde_errn,3.53193e-11,4.11046e-10,1.1591e-17,8.44003e-09,5778,162
sed_dnde_ul,2.30615e-13,8.87003e-13,2.5e-19,4.46e-12,6456,162
