,                      name ,                   mean ,                    std ,                  min ,           max , n_bad , length ,
,                 source_id ,      84.04819277108433 ,      48.34885867616878 ,                    1 ,           167 ,     0 ,    166 ,
,               common_name ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,               gamma_names ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,               fermi_names ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,               other_names ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                     where ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                   classes ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                discoverer ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                   seen_by ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,            discovery_date ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                 tevcat_id ,     174.03012048192772 ,     59.054133293289716 ,                   74 ,           280 ,     0 ,    166 ,
,                tevcat2_id ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,               tevcat_name ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,                tgevcat_id , -6.111873036470033e+17 , 2.2942663240345802e+18 , -9223372036854775808 ,           155 ,     0 ,    166 ,
,              tgevcat_name ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,              reference_id ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,              significance ,              10.928888 ,              7.5430946 ,                  4.2 ,          40.0 ,    76 ,    166 ,
,                  livetime ,              53.578194 ,              46.680706 ,                  4.5 ,         226.0 ,    72 ,    166 ,
,                        ra ,              206.74501 ,               92.52254 ,                 1.65 ,     359.78296 ,     0 ,    166 ,
,                       dec ,             -4.3837337 ,              40.011612 ,           -69.644165 ,        72.783 ,     0 ,    166 ,
,                      glon ,              170.11433 ,              122.87497 ,          0.054990474 ,     359.94424 ,     0 ,    166 ,
,                      glat ,              3.4446845 ,              28.993938 ,            -87.96455 ,      83.41778 ,     0 ,    166 ,
,                    pos_ra ,               224.6896 ,               80.68794 ,            1.6083333 ,       350.825 ,    76 ,    166 ,
,                   pos_dec ,              -15.84273 ,              37.638935 ,            -69.18611 ,      72.98361 ,    76 ,    166 ,
,                  pos_glon ,              183.40651 ,              135.50539 ,                0.055 ,      359.9449 ,    76 ,    166 ,
,                  pos_glat ,             0.88163096 ,              19.219646 ,            -78.06827 ,      83.38905 ,    76 ,    166 ,
,                   pos_err ,             0.03379202 ,             0.04508196 ,         0.0010758287 ,    0.33333334 ,    85 ,    166 ,
,                morph_type ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,               morph_sigma ,             0.20075142 ,             0.15780197 ,                 0.03 ,           1.0 ,   107 ,    166 ,
